7.7746 	EXP 	Created text_9 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_9', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.7791 	EXP 	Created text_10 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.7816 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=UNKNOWN, interpolate=False, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3,  0.3]), texRes=128, units=u'norm', win=Window(...))
7.7858 	EXP 	Created text_28 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_28', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.7901 	EXP 	Created text_31 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_31', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.7943 	EXP 	Created text_32 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_32', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8089 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=300, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8132 	EXP 	Created text_12 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_12', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8175 	EXP 	Created text_13 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_13', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8217 	EXP 	Created text_14 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_14', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8262 	EXP 	Created text_15 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_15', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8289 	EXP 	Created image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=UNKNOWN, interpolate=False, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
7.8332 	EXP 	Created text_33 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_33', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8374 	EXP 	Created text_34 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_34', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8417 	EXP 	Created text_35 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=60, italic=False, name='text_35', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.8772 	EXP 	Created text_26 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=590, italic=False, name='text_26', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	ImageStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	ImageStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	ImageStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoLog = None
7.9061 	EXP 	TextStim: autoDraw = None
8.4900 	DATA 	Keypress: space
8.5065 	EXP 	TextStim: autoDraw = None
8.5065 	EXP 	TextStim: autoDraw = None
9.2905 	DATA 	Keypress: space
9.3070 	EXP 	TextStim: autoDraw = None
9.3070 	EXP 	TextStim: autoDraw = None
9.3070 	EXP 	TextStim: autoDraw = None
9.3070 	EXP 	TextStim: autoDraw = None
14.4942 	DATA 	Keypress: space
14.5005 	EXP 	Imported pos_neg_train.xlsx as conditions, 10 conditions, 2 params
14.5010 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
14.5016 	EXP 	New trial (rep=0, index=0): {u'StimuliImages': u'Evil.jpg', u'CorrAns1': u'l'}
14.5275 	EXP 	TextStim: autoDraw = None
14.5275 	EXP 	TextStim: autoDraw = None
14.5275 	EXP 	TextStim: autoDraw = None
14.5275 	EXP 	Set image_3 image=stimuli\Evil.jpg
14.5275 	EXP 	TextStim: autoDraw = None
14.5275 	EXP 	TextStim: autoDraw = None
14.5275 	EXP 	ImageStim: autoDraw = None
15.1617 	DATA 	Keypress: l
15.1780 	EXP 	TextStim: autoDraw = None
15.1780 	EXP 	TextStim: autoDraw = None
15.1780 	EXP 	ImageStim: autoDraw = None
15.1780 	EXP 	Set text_27 text=
15.1780 	EXP 	TextStim: autoDraw = None
15.1780 	EXP 	TextStim: autoDraw = None
15.1780 	EXP 	TextStim: autoDraw = None
16.1626 	EXP 	New trial (rep=0, index=1): {u'StimuliImages': u'Love.jpg', u'CorrAns1': u'a'}
16.1788 	EXP 	TextStim: autoDraw = None
16.1788 	EXP 	TextStim: autoDraw = None
16.1788 	EXP 	TextStim: autoDraw = None
16.1788 	EXP 	Set image_3 image=stimuli\Love.jpg
16.1788 	EXP 	TextStim: autoDraw = None
16.1788 	EXP 	TextStim: autoDraw = None
16.1788 	EXP 	ImageStim: autoDraw = None
16.5959 	DATA 	Keypress: a
16.6124 	EXP 	TextStim: autoDraw = None
16.6124 	EXP 	TextStim: autoDraw = None
16.6124 	EXP 	ImageStim: autoDraw = None
16.6124 	EXP 	Set text_27 text=
16.6124 	EXP 	TextStim: autoDraw = None
16.6124 	EXP 	TextStim: autoDraw = None
16.6124 	EXP 	TextStim: autoDraw = None
17.5974 	EXP 	New trial (rep=0, index=2): {u'StimuliImages': u'Agony.jpg', u'CorrAns1': u'l'}
17.6132 	EXP 	TextStim: autoDraw = None
17.6132 	EXP 	TextStim: autoDraw = None
17.6132 	EXP 	TextStim: autoDraw = None
17.6132 	EXP 	Set image_3 image=stimuli\Agony.jpg
17.6132 	EXP 	TextStim: autoDraw = None
17.6132 	EXP 	TextStim: autoDraw = None
17.6132 	EXP 	ImageStim: autoDraw = None
18.0990 	DATA 	Keypress: l
18.1303 	EXP 	TextStim: autoDraw = None
18.1303 	EXP 	TextStim: autoDraw = None
18.1303 	EXP 	ImageStim: autoDraw = None
18.1303 	EXP 	Set text_27 text=
18.1303 	EXP 	TextStim: autoDraw = None
18.1303 	EXP 	TextStim: autoDraw = None
18.1303 	EXP 	TextStim: autoDraw = None
